SMILES,Molecular_Weight,ALogP,Num_H_Donors,Num_H_Acceptors,Num_RotatableBonds,Molecular_PolarSurfaceArea,Num_Atoms,Num_Rings,Num_AromaticRings,Molecular_SurfaceArea,Molecular_Solubility,QED,SA_Score,AlogP_Count,Lipinski,Veber
Cc1ccc(NC(C)C)c2ccc(F)cc12,217.29,4.11,1,1,2,12.03,16,2,2,95.29,-2.351,0.7979,3.7175,4,4,2
CC(=O)Nc1ccc(C)c2cc(F)ccc12,217.24,3.25,1,1,1,29.1,16,2,2,93.08,-2.1202,0.7801,3.7175,4,4,2
O=C(O)C(CO)C(=O)NCc1ccccc1,223.23,-0.0,3,3,5,86.63,16,1,1,92.72,-1.1469,0.6129,4.1343,4,4,2
CC(=O)NC(=O)c1cc2ccccc2cc1O,229.24,1.82,2,3,1,66.4,17,2,2,97.88,-1.7918,0.7834,3.7467,4,4,2
CCc1cc2ccccc2c2ccc(O)cc12,222.29,4.26,1,1,1,20.23,17,3,3,100.32,-2.561,0.6098,3.775,4,4,2
CNC(=O)c1cc(C2C=CC=C2)cc(O)c1O,231.25,1.67,3,3,2,69.56,17,2,1,98.9,-1.5965,0.6779,3.7467,4,4,2
COC(=O)c1ccc2c(=O)n(C)c(=O)[nH]c2c1,234.21,0.01,1,5,1,81.16,17,2,2,95.46,-1.3492,0.7048,3.7322,4,4,2
COc1ccc(C(=O)NCC2=CC=NC2)cc1,230.27,1.44,1,3,4,50.69,17,2,1,100.01,-1.5426,0.8504,3.775,4,4,2
COc1c(O)cc(-c2ccccc2)cc1C(=O)O,244.25,2.77,2,3,3,66.76,18,2,2,104.08,-2.1998,0.8707,3.7761,4,4,2
CC(c1ccccc1)c1ccc(F)cc1C(=O)O,244.26,3.68,1,1,3,37.3,18,2,2,104.7,-2.4374,0.8938,4.1929,4,4,2
CC(Cc1cccc(-c2ccccc2)c1)C(=O)O,240.3,3.62,1,1,4,37.3,18,2,2,106.9,-2.404,0.8859,4.2064,4,4,2
Cc1cc(CCO)cc(-c2ccc(O)cc2O)c1,244.29,2.61,3,3,3,60.69,18,2,2,105.97,-2.1583,0.7774,3.7761,4,4,2
COc1ccc(CCC(=O)O)c(C2CCCC2)c1,248.32,3.37,1,2,5,46.53,18,2,1,107.78,-2.1462,0.8686,3.7896,4,4,2
CNC(C)c1ccccc1C(C)c1ccccc1,239.36,4.12,1,1,4,12.03,18,2,2,109.86,-2.5288,0.846,4.4502,4,4,2
CC(O)c1cc(F)ccc1C(C)c1ccccc1,244.31,4.03,1,1,3,20.23,18,2,2,106.91,-2.529,0.8638,4.4367,4,4,2
O=C1CCC(=O)N(C2CCCc3ccccc32)C1,243.31,2.26,0,2,1,37.38,18,3,1,106.79,-1.8024,0.7583,4.2196,4,4,2
CC(c1ccccc1)c1ccc(F)cc1C(O)O,246.28,2.96,2,2,3,40.46,18,2,2,105.34,-2.2616,0.8173,4.1929,4,4,2
CCC1CC(C)(O)CC1NC1C=C(C)C=CC1O,251.37,1.76,3,3,3,52.49,18,2,0,109.6,-1.4856,0.7162,4.8398,4,4,2
C1=NN=CC1Cc1cccc(-c2ccccc2)c1,234.3,3.58,0,2,3,24.72,18,3,2,106.7,-2.3515,0.7751,3.8284,4,4,2
Cc1cc(O)cc(Cc2cnc3ccsc3c2)c1,255.34,3.9,1,3,2,33.12,18,3,3,109.55,-2.6786,0.753,3.8027,3,4,2
COC1=CC2C(O)=CN3C=C(O)C=CC3=C2C=C1,243.26,2.64,2,4,1,52.93,18,3,0,104.79,-1.6546,0.743,4.2064,4,4,2
Cc1cc2c(c(-c3ccc(O)cc3O)c1)CCCC2,254.33,3.95,2,2,1,40.46,19,3,2,112.9,-2.5303,0.8085,3.8183,4,4,2
O=C(NC1CCCc2ccccc21)c1ccccc1,251.33,3.49,1,1,2,29.1,19,3,2,113.02,-2.3982,0.8693,4.2599,4,4,2
COc1cccc(C2CCCc3cc(C)ccc32)c1,252.36,4.47,0,1,2,9.23,19,3,2,114.79,-2.6602,0.7658,4.2476,4,4,2
Cc1ccc(C2CCCCN2C2CCCCC2)cc1,257.42,4.85,0,1,2,3.24,19,3,1,117.56,-2.5561,0.7314,4.2599,4,4,2
O=C(O)C1CNc2c(F)cc(C(F)(F)F)c(F)c2N1,282.17,2.27,3,3,1,61.36,19,2,1,102.77,-2.0252,0.6915,4.1829,4,4,2
CC=C(c1ccccc1)c1ccc(F)cc1C(=O)O,256.28,3.98,1,1,3,37.3,19,2,2,110.38,-2.5618,0.9016,3.8056,4,4,2
COc1ccc(C(=O)NCc2ccccc2C)cc1,255.32,2.93,1,2,4,38.33,19,2,2,112.77,-2.288,0.9118,3.8183,4,4,2
COc1c(O)cc(-c2ccccc2F)cc1C(=O)O,262.24,2.91,2,3,3,66.76,19,2,2,108.25,-2.3183,0.8921,3.7927,4,4,2
COc1ccc(CN2CC(C(=O)O)=NCC2=O)cc1,262.26,0.56,1,4,4,79.2,19,2,1,109.87,-1.4774,0.8596,3.8056,4,4,2
COc1ccc(CCC(=O)O)c(-c2ccccc2)c1,256.3,3.38,1,2,5,46.53,19,2,2,112.02,-2.4173,0.8916,3.8183,4,4,2
CCc1ccc(CC(=O)O)c(-c2ccc(O)cc2)c1,256.3,3.25,2,2,4,57.53,19,2,2,111.7,-2.3774,0.8824,3.8056,4,4,2
COc1cccc(C2CCCc3cc(Cl)ccc32)c1,272.77,4.82,0,1,2,9.23,19,3,2,118.72,-2.874,0.7618,4.2476,4,4,2
COc1ccc(C(=O)NCc2cccc(O)c2)cc1,257.29,2.33,2,3,4,58.56,19,2,2,111.2,-2.1432,0.8834,3.8183,4,4,2
CON=Cc1ccccc1-c1cccc(C(=O)O)c1,255.27,3.03,1,3,4,58.89,19,2,2,110.5,-2.3138,0.6744,3.8183,4,4,2
CNCC1=C=CC=C1c1cc(O)c(OC)c(OC)c1,259.3,2.11,2,4,5,50.72,19,2,1,112.21,-1.8702,0.7951,3.8056,4,4,2
Cc1ccc(C2CCCCN2C2CCC(=O)CC2)cc1,271.4,4.03,0,2,2,20.31,20,3,1,121.72,-2.4142,0.809,4.276,4,4,2
COc1ccccc1-c1cc(O)c(OC)c(C(=O)O)c1,274.27,2.77,2,4,4,75.99,20,2,2,115.56,-2.3366,0.8961,3.823,4,4,2
COc1cc(-c2cccc(C(=O)O)c2)cc(O)c1OC,274.27,2.77,2,4,4,75.99,20,2,2,115.56,-2.3366,0.8961,3.823,4,4,2
COC(=O)CCCc1ccc(OC)cc1C1CCCC1,276.38,3.85,0,3,6,35.53,20,2,1,120.83,-2.4211,0.7403,3.8473,4,4,2
O=C(O)c1cccc(C2CCCc3cc(Cl)ccc32)c1,286.76,4.51,1,1,2,37.3,20,3,2,122.57,-2.8537,0.882,4.2641,4,4,2
FC1=CCC(=Cc2cc(F)cc3cnccc23)C=C1F,273.26,4.87,0,1,1,12.89,20,3,2,113.31,-2.7866,0.7221,3.8473,4,4,2
CC=C(c1ccccc1)c1ccc(F)cc1CC(=O)O,270.3,3.9,1,1,4,37.3,20,2,2,116.74,-2.6077,0.9143,3.8353,3,4,2
COc1ccc(C2CCCc3ccccc32)cc1OC,268.36,4.17,0,2,3,18.46,20,3,2,119.9,-2.6605,0.8314,4.276,4,4,2
CC(=O)Nc1ccc(F)cc1-c1cccc(C(C)O)n1,274.3,2.9,2,3,3,62.22,20,2,2,115.84,-2.3647,0.9042,4.2398,3,4,2
CC1CCCC2C1c1ccccc1CN2C(=O)N(C)C,272.39,3.46,0,1,0,23.55,20,3,1,121.12,-2.2594,0.7093,4.6689,4,4,2
Cc1ccc2cccc(-c3cnc4ccsc4c3)c2c1,275.38,5.42,0,2,1,12.89,20,4,4,121.08,-3.2759,0.4514,3.8708,4,3,2
FC1=CCC(=Cc2cc(F)cc3cncnc23)C=C1F,274.25,4.26,0,2,1,25.78,20,3,2,112.53,-2.6334,0.776,3.8473,4,4,2
CC1(C)C(=O)N=CC(c2ccc(O)c(C(=O)O)c2)=C1O,275.26,2.0,3,4,2,107.19,20,2,1,114.26,-1.9076,0.7647,3.7979,3,4,2
COC(=O)c1cc(Oc2cccc(O)c2)c(O)cc1C,274.27,2.99,2,5,3,75.99,20,2,2,115.56,-2.388,0.8414,3.823,4,4,2
COc1ccc(C2CCCc3cc(C)ccc32)cc1OC,282.38,4.48,0,2,3,18.46,21,3,2,126.26,-2.8044,0.826,4.2934,4,4,2
COC(=O)c1cc(Oc2cc(O)ccc2O)c(O)cc1C,290.27,2.69,3,6,3,96.22,21,2,2,120.35,-2.3846,0.5938,3.8417,4,4,2
c1ccc(Oc2cncc3cc4ccccc4cc23)cc1,271.32,5.18,0,2,2,22.12,21,4,4,122.19,-3.1967,0.4685,3.9098,4,3,2
CCCC1C=CN=C2CC(C)CC(c3ccc(C)cc3)N21,282.43,4.86,0,2,3,15.6,21,3,1,128.13,-2.6925,0.7725,4.7102,4,4,2
O=C(O)Cc1cccc(C2CCCc3cc(O)ccc32)c1,282.34,3.49,2,2,3,57.53,21,3,2,123.42,-2.5458,0.9057,4.2934,4,4,2
OC1=CN2C=C(O)c3c(O)c4c(cc3=C2C=C1)OC=CC=4,281.27,1.33,3,5,0,73.16,21,4,1,119.18,-1.7462,0.6688,3.8766,4,4,2
Cc1ccc2c(c1)CCCC2c1cccc(CC(=O)O)c1,280.37,4.09,1,1,3,37.3,21,3,2,124.99,-2.6906,0.9191,4.2934,4,4,2
O=C(O)Cc1cccc(C2CCCc3cc(Cl)ccc32)c1,300.78,4.44,1,1,3,37.3,21,3,2,128.93,-2.9044,0.9099,4.2934,4,4,2
COc1ccc(C2CCCc3cc(Cl)ccc32)cc1OC,302.8,4.83,0,2,3,18.46,21,3,2,130.2,-3.0183,0.8086,4.2934,4,4,2
O=C(O)Cc1ccc(C(F)(F)F)cc1-c1ccc(O)cc1,296.24,3.71,2,2,3,57.53,21,2,2,117.83,-2.6866,0.9075,3.8417,4,4,2
COc1ccc(F)cc1-c1cc(O)c(OC)c(C(=O)O)c1,292.26,2.91,2,4,4,75.99,21,2,2,119.73,-2.4599,0.9058,3.8417,4,4,2
CC1COc2c1ccnc2C(=O)NCCc1ncccn1,284.32,1.34,1,5,4,77.0,21,3,2,122.16,-2.0025,0.9165,4.3046,4,4,2
CC1CCCC2C1c1ccc(F)cc1CN2C(=O)N(C)C,290.38,3.6,0,1,0,23.55,21,3,1,125.28,-2.3933,0.7159,4.6871,3,4,2
O=C(O)C=C1CCC(=O)N(C2CCCc3ccccc32)C1=O,299.33,2.22,1,3,2,74.68,22,3,1,127.78,-2.0892,0.671,4.3119,4,4,2
CCc1coc2c(C(=O)NCCc3ncccn3)nccc12,296.33,2.15,1,5,5,80.91,22,3,3,127.16,-2.3737,0.7799,3.9168,4,4,2
COc1cc2c(cc1O)C=CC1CCc3cc(Cl)ccc3C21,312.8,4.78,1,2,1,29.46,22,4,2,134.55,-3.034,0.8212,4.5667,4,4,2
CC(C)NC(=O)N1Cc2cc(F)ccc2C2C(C)CCCC21,304.41,4.03,1,1,1,32.34,22,3,1,131.44,-2.5861,0.8344,4.7177,4,4,2
Oc1cccc(Oc2cncc3cc4ccccc4cc23)c1,287.32,4.89,1,3,2,42.35,22,4,4,126.98,-3.1849,0.5339,3.9273,4,4,2
COc1cc2c(cc1O)C=CC1CCc3cc(C)ccc3C21,292.38,4.43,1,2,1,29.46,22,4,2,130.61,-2.8201,0.8422,4.5667,4,4,2
CC1(C)COc2c1ccnc2C(=O)NCCc1ncccn1,298.35,1.51,1,5,4,77.0,22,3,2,128.52,-2.1118,0.9256,3.906,4,4,2
Cn1ncc2c(-c3cccc(-c4ccccc4)c3)cccc21,284.36,4.91,0,2,2,17.82,22,4,4,129.2,-3.206,0.5113,3.9273,4,4,2
Oc1ccc(Oc2cncc3cc4ccccc4cc23)cc1,287.32,4.89,1,3,2,42.35,22,4,4,126.98,-3.1849,0.5339,3.9273,4,4,2
COC1=CC2=C3C=CC(O)=CN3C=C(O)C2C=C1OCCO,303.31,1.98,3,6,4,82.39,22,3,0,127.43,-1.8606,0.7365,4.3119,4,4,2
COc1cc(-c2c(F)c(F)cc3sccc23)cc(O)c1OC,322.33,4.57,1,4,3,38.69,22,3,3,128.89,-3.1493,0.7675,3.884,4,4,2
CCCCn1c2c(nc(-c3ccc(O)cc3)c1=O)CCCC2,298.39,3.29,1,4,4,55.12,22,3,2,130.01,-2.5767,0.942,3.906,4,4,2
CCCC1CC(=O)N=C2CC(C)CC(c3ccc(C)cc3)N21,298.43,4.27,0,2,3,32.67,22,3,1,132.98,-2.6249,0.8347,4.7287,4,4,2
OC1=CN2C=C(O)c3c(O)c4c(cc3=C2C=C1)OC(F)=CC=4,299.26,1.63,3,5,0,73.16,22,4,1,123.35,-1.9228,0.6788,3.8951,4,4,2
CC=C1CC2=NC=CC(CCC)N2C(c2ccc(C)cc2)C1,294.44,5.17,0,2,3,15.6,22,3,1,133.8,-2.8358,0.7019,4.5667,4,3,2
CCN1CCC2CCC(C)C3c4ccccc4CN(C1=O)C23,298.43,3.85,0,1,1,23.55,22,4,1,132.84,-2.5032,0.7723,4.8738,4,4,2
COc1c(O)cc(-c2cc(C(=O)O)ccc2F)cc1C(=O)O,306.25,2.6,3,4,4,104.06,22,2,2,123.57,-2.4437,0.8018,3.8613,3,4,2
CC1(C)CC(Cc2ccccc2)C(=O)N(c2ccccc2)C1,293.41,4.31,0,1,3,20.31,22,3,2,132.32,-2.807,0.8256,4.3228,4,4,2
CC(=O)Nc1cc(C)cc(C2=CC(=O)C3=CCOC3=CC2)c1,295.34,3.15,1,3,2,55.4,22,3,1,128.72,-2.308,0.9116,3.8951,4,4,2
O=C1CC2CC(c3ccc(Cl)cc3)=C3C=C(C(=O)O)N=C3C2N1,328.76,2.43,2,3,2,78.76,23,4,1,136.91,-2.3118,0.8748,4.5859,4,4,2
COc1ccc2c(c1)Oc1cccc(=C(C)O)c1=CCC2(C)C,310.39,3.64,1,3,1,38.69,23,3,2,136.04,-2.7045,0.8738,3.9147,4,4,2
O=C1N(c2ccccc2)c2ccccc2Cc2cc(=O)ncn21,303.32,2.95,0,4,1,55.2,23,4,3,132.0,-2.675,0.6943,3.946,4,4,2
O=C(O)C1=CC(C(=O)O)C(O)=C(c2ccc(O)c(C(=O)O)c2)C1,320.25,1.48,5,5,4,152.36,23,2,1,128.79,-2.0248,0.5589,4.2988,4,4,1
COc1c(O)cc(-c2cc(O)ccc2CCCO)cc1C(=O)O,318.32,2.4,4,5,6,107.22,23,2,2,132.77,-2.4584,0.6513,3.904,3,4,2
O=C(N(c1ccccc1)c1cccc(F)c1)n1ccc(=O)nc1,309.3,3.19,0,4,2,55.2,23,3,3,130.81,-2.7795,0.7303,3.9357,4,4,2
COc1cc(-c2cccc(-c3ccccc3)c2)cc(O)c1OC,306.36,4.74,1,3,4,38.69,23,3,3,135.3,-3.1784,0.7561,3.9357,4,4,2
Cc1cc(NCC(=O)O)cc(C2=CC(=O)C3=CCOC3=CC2)c1,311.34,2.69,2,4,4,75.63,23,3,1,133.51,-2.2872,0.8939,3.9253,4,4,2
CC1(C)C(=O)Oc2c1ccnc2C(=O)NCCc1ncccn1,312.33,1.04,1,6,4,94.07,23,3,2,132.68,-2.0555,0.8478,3.9253,4,4,2
CC(C)CCn1c(=O)c(-c2ccc(O)cc2)nc2ccccc21,308.38,3.82,1,4,4,55.12,23,3,3,134.6,-2.8861,0.797,3.9253,4,4,2
CC1CCCC2C1c1ccc(F)cc1CN2C(=O)NC(C)(C)C,318.44,4.42,1,1,0,32.34,23,3,1,137.8,-2.7573,0.7542,4.7376,4,4,2
CCc1ccc(N2CC(C)N(C)c3ccc(C)cc32)cc1OC,310.44,4.54,0,3,3,15.71,23,3,2,139.04,-2.9517,0.8274,4.3316,4,4,2
COc1ccc2c(c1)Oc1c(cccc1C(=O)O)CCC2(C)C,312.37,4.41,1,3,2,55.76,23,3,2,135.22,-2.9233,0.8921,3.9147,4,4,2
CC1(C)CC=C2C(=O)Nc3c(F)cc(C(F)(F)F)c(F)c3N2C1,332.27,4.06,1,2,0,32.34,23,3,1,128.31,-2.7463,0.727,3.882,4,4,2
CC1(C)CC(Cc2ccccc2O)C(=O)N(c2ccccc2)C1,309.41,4.01,1,2,3,40.54,23,3,2,137.12,-2.8072,0.9302,4.3421,4,4,2
Oc1ccc(Oc2cncc3cc4ccccc4cc23)cc1O,303.32,4.59,2,4,2,62.58,23,4,4,131.77,-3.1734,0.4197,3.946,4,4,2
COc1c(O)cc(-c2cc(F)cc3c2OCCC3)cc1C(=O)O,318.3,3.23,2,4,3,75.99,23,3,2,131.45,-2.6569,0.9085,3.9147,4,4,2
COc1cc(-c2cc(C)ccc2CCC(=O)O)cc(O)c1OC,316.35,3.4,2,4,6,75.99,23,2,2,134.66,-2.7076,0.8539,3.904,3,4,2
Oc1cc(O)cc(Oc2cncc3cc4ccccc4cc23)c1,303.32,4.59,2,4,2,62.58,23,4,4,131.77,-3.1734,0.5315,3.946,4,4,2
Oc1ccc(C2=CS(=Cc3ccccc3)C(C(F)(F)F)=C2)cc1,334.36,5.31,1,1,2,20.23,23,3,2,133.88,-3.2902,0.7378,4.3421,4,3,2
CCCC1=c2cc3c(cc2CCC1)=C1C=CC(O)=CN1C=C3O,307.39,3.22,2,3,2,43.7,23,4,1,135.42,-2.3898,0.8815,3.9357,4,4,2
